timestamp,vx_input,vx_setpoint,vx_output,vy_input,vy_setpoint,vy_output
355.087,1182.64,175,-0.2,14.4946,1166,0.2
355.097,1182.64,175,-0.2,14.4946,1166,0.2
355.107,1183.08,175,-0.2,14.5932,1166,0.2
355.117,1183.52,175,-0.2,14.6317,1166,0.2
355.127,1183.52,175,-0.2,14.6317,1166,0.2
355.137,1184.21,175,-0.2,14.6923,1166,0.2
355.147,1184.21,175,-0.2,14.6923,1166,0.2
355.157,1185.26,175,-0.2,14.7361,1166,0.2
355.167,1185.26,175,-0.2,14.7361,1166,0.2
355.177,1185.67,175,-0.2,14.7532,1166,0.2
355.187,1187.21,175,-0.2,14.78,1166,0.2
355.197,1187.21,175,-0.2,14.78,1166,0.2
355.207,1189.08,175,-0.2,14.7994,1166,0.2
355.217,1189.81,175,-0.2,14.807,1166,0.2
355.227,1189.81,175,-0.2,14.807,1166,0.2
355.237,1191.5,175,-0.2,14.819,1166,0.2
355.247,1191.5,175,-0.2,14.819,1166,0.2
355.257,1192.73,175,-0.2,14.8276,1166,0.2
355.267,1193.21,175,-0.2,14.6824,1166,0.2
355.277,1193.61,175,-0.2,14.5591,1166,0.2
355.287,1193.61,175,-0.2,14.5591,1166,0.2
355.297,1193.96,175,-0.2,14.4542,1166,0.2
355.307,1194.8,175,-0.2,14.4378,1166,0.2
355.317,1195.27,175,-0.2,14.4996,1166,0.2
355.327,1195.27,175,-0.2,14.4996,1166,0.2
355.337,1196,175,-0.2,14.5969,1166,0.2
355.347,1196,175,-0.2,14.5969,1166,0.2
355.357,1197.17,175,-0.2,14.6348,1166,0.2
355.367,1199.02,175,-0.2,14.6945,1166,0.2
355.377,1199.75,175,-0.2,14.7179,1166,0.2
355.387,1199.75,175,-0.2,14.7179,1166,0.2
355.397,1200.66,175,-0.2,14.7377,1166,0.2
355.407,1202.09,175,-0.2,14.7689,1166,0.2
355.417,1202.65,175,-0.2,14.781,1166,0.2
355.427,1202.65,175,-0.2,14.781,1166,0.2
355.437,1204.08,175,-0.2,15.0749,1166,0.2
355.447,1204.64,175,-0.2,15.1897,1166,0.2
355.457,1204.64,175,-0.2,15.1897,1166,0.2
355.467,1205.11,175,-0.2,15.2872,1166,0.2
355.477,1206.41,175,-0.2,15.1659,1166,0.2
355.487,1206.41,175,-0.2,15.1659,1166,0.2
355.497,1207.34,175,-0.2,15.0782,1166,0.2
355.507,1208.3,175,-0.2,15.044,1166,0.2
